,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg,url_list
53,Jordan Bell,C,24,GSW,68,3,788,6.0,11.6,.516,0.0,0.1,.000,6.0,11.5,.521,1.5,2.5,.610,3.3,7.8,11.1,4.6,1.2,3.1,2.5,4.8,13.5,,109,108,https://www.basketball-reference.com/players/b/belljo01.html
54,DeAndre' Bembry,SG,24,ATL,82,15,1931,6.6,14.7,.446,1.2,4.1,.289,5.4,10.6,.508,2.1,3.3,.640,1.3,7.3,8.6,4.8,2.5,1.0,3.4,4.5,16.4,,97,112,https://www.basketball-reference.com/players/b/bembrde01.html
55,Dragan Bender,PF,21,PHO,46,27,826,5.1,11.4,.447,1.3,5.8,.218,3.8,5.5,.688,1.8,3.1,.593,2.0,8.6,10.6,3.2,1.0,1.3,2.1,5.2,13.3,,102,115,https://www.basketball-reference.com/players/b/bendedr01.html
56,Dairis Bertāns,SG,29,NOP,12,0,167,3.3,13.1,.255,2.8,9.5,.294,0.6,3.6,.154,0.0,0.0,,0.6,1.9,2.5,2.8,0.3,0.0,0.6,1.9,9.5,,86,120,https://www.basketball-reference.com/players/b/bertada02.html
57,Dāvis Bertāns,PF,26,SAS,76,12,1632,6.1,13.6,.450,4.3,10.1,.429,1.8,3.4,.513,1.6,1.8,.883,0.7,7.2,7.9,3.0,1.0,1.0,1.3,4.0,18.1,,122,112,https://www.basketball-reference.com/players/b/bertada01.html
58,Patrick Beverley,PG,30,LAC,78,49,2137,4.3,10.5,.407,2.5,6.2,.397,1.8,4.3,.421,2.1,2.7,.780,1.7,6.9,8.6,6.6,1.5,0.9,1.9,5.9,13.2,,119,111,https://www.basketball-reference.com/players/b/beverpa01.html
59,Khem Birch,C,26,ORL,50,1,643,6.9,11.5,.603,0.0,0.1,.000,6.9,11.4,.607,4.4,6.3,.699,6.0,8.4,14.5,2.9,1.4,2.2,1.5,5.5,18.3,,134,106,https://www.basketball-reference.com/players/b/birchkh01.html
60,Bismack Biyombo,C,26,CHO,54,32,783,5.5,9.7,.571,0.0,0.0,,5.5,9.7,.571,3.6,5.7,.637,5.0,10.3,15.3,2.0,0.7,2.5,2.1,6.4,14.7,,121,110,https://www.basketball-reference.com/players/b/biyombi01.html
61,Nemanja Bjelica,PF,30,SAC,77,70,1788,7.4,15.4,.479,2.7,6.7,.401,4.7,8.7,.539,1.8,2.4,.761,3.3,8.3,11.6,3.8,1.4,1.5,2.1,5.1,19.3,,117,110,https://www.basketball-reference.com/players/b/bjeline01.html
62,Antonio Blakeney,SG,22,CHI,57,3,829,9.7,23.2,.419,2.1,5.3,.396,7.6,17.8,.426,2.9,4.4,.658,0.4,5.8,6.2,2.5,0.7,0.5,2.0,2.4,24.5,,94,116,https://www.basketball-reference.com/players/b/blakean01.html
63,Eric Bledsoe,PG,29,MIL,78,78,2272,9.6,19.9,.484,2.5,7.7,.329,7.1,12.2,.582,3.6,4.8,.750,1.7,5.7,7.4,8.8,2.4,0.6,3.4,3.2,25.4,,116,105,https://www.basketball-reference.com/players/b/bledser01.html
64,Jaron Blossomgame,SF,25,CLE,27,4,439,5.3,12.0,.443,1.1,4.4,.256,4.2,7.6,.552,1.1,1.5,.769,2.9,8.1,11.1,1.5,0.8,0.9,1.2,2.3,12.9,,108,118,https://www.basketball-reference.com/players/b/blossja01.html
65,Bogdan Bogdanović,SG,26,SAC,70,17,1947,8.6,20.6,.418,3.2,8.9,.360,5.4,11.7,.462,3.2,3.9,.827,1.0,4.9,5.8,6.4,1.7,0.4,2.8,3.4,23.7,,107,113,https://www.basketball-reference.com/players/b/bogdabo01.html
66,Bojan Bogdanović,SF,29,IND,81,81,2573,9.9,20.0,.497,3.1,7.3,.425,6.8,12.6,.538,4.7,5.8,.807,0.6,5.7,6.3,3.1,1.3,0.0,2.5,2.6,27.6,,114,110,https://www.basketball-reference.com/players/b/bogdabo02.html
