Player,AFGM,JS,LU,DUN,TIPIN,JS%,Layup%18,DUN%,2PT_m,3PT_m,FT_m
Gerald Green,83.55,88.06,9.69,2.08,0.17,0.363,0.625,0.833,22.22,69.33,8.44
Jalen Brunson,43.8,73.25,25.49,0.72,0.54,0.407,0.613,0.75,59.73,27.15,13.12
Landry Shamet,88.33,85.1,13.11,1.44,0.36,0.416,0.479,0.75,20.22,69.39,10.39
Ish Smith,23.15,70.27,29.52,0,0.21,0.373,0.542,0,64.52,26.01,9.48
Terry Rozier,53.49,77.59,19.1,2.71,0.6,0.353,0.457,0.833,39.27,50.42,10.31
Malik Monk,65.64,76.45,19.62,3.58,0.34,0.328,0.513,0.952,36.14,50.08,13.78
Rondae Hollis-Jefferson,72.5,38.81,52.16,4.52,4.52,0.307,0.453,0.864,72.49,5.12,22.39
Ivica Zubac,80.29,31.28,31.02,23.8,13.9,0.444,0.56,0.854,80.46,0,19.54
Bam Adebayo,70,35.8,29.84,22.84,11.52,0.362,0.531,0.946,75.99,1.23,22.77
Tomas Satoransky,60.08,64.04,28.27,4.62,3.08,0.39,0.633,0.875,53.92,27.39,18.69
Marcus Smart,69.04,78.84,17.99,2.29,0.88,0.369,0.588,0.923,31.92,53.39,14.69
Mario Hezonja,55.5,62.28,32.54,4.53,0.65,0.343,0.477,0.905,58.32,24.66,17.03
Alec Burks,53.13,65.61,30.59,2.32,1.48,0.331,0.51,1,46.7,32.62,20.68
Delon Wright,41.32,53.76,41.04,2.15,3.05,0.32,0.537,1,58.81,22.97,18.22
Trey Lyles,70.05,69.49,22.63,5.66,2.22,0.308,0.616,0.929,57.14,28.02,14.84
Frank Kaminsky,81.88,68.79,28.86,1.34,1.01,0.395,0.593,1,43.46,37.04,19.51
Norman Powell,68.39,61.25,32.75,5.25,0.75,0.4,0.557,0.952,48.45,39.53,12.02
Kyle Korver,97.01,95.65,4.14,0,0.21,0.403,0.75,0,21,69,10
Rodions Kurucs,68.32,49,35.86,11.8,3.34,0.327,0.478,0.868,53.93,32.58,13.48
Langston Galloway,92.51,83.82,15.66,0,0.52,0.38,0.451,0,27.54,60.63,11.83
Noah Vonleh,49.28,61.82,24.77,9.77,3.64,0.408,0.486,0.767,56.39,24.17,19.44
Mikal Bridges,82.23,68.56,25.04,4.8,1.6,0.35,0.574,0.926,40.06,46.05,13.89
Jahlil Okafor,49.53,44.44,36.39,11.67,7.5,0.475,0.649,0.905,87.19,0.62,12.19
Bruno Caboclo,82.29,69.78,22.67,5.33,2.22,0.357,0.529,0.833,34.04,51.06,14.89
DeAndre' Bembry,56.88,43.56,46.86,8.91,0.66,0.295,0.496,0.889,65.77,21.97,12.26
Darius Miller,84.86,95.98,3.81,0.21,0,0.379,0.667,1,19,70.97,10.04
Richaun Holmes,77.03,31.78,35.07,26.03,7.12,0.353,0.609,0.947,77.62,0,22.38
Markelle Fultz,29.23,57.42,36.13,4.52,1.94,0.292,0.554,0.857,78.71,7.74,13.55
Austin Rivers,47.84,71.68,27.8,0.35,0.17,0.339,0.572,1,41.42,50.49,8.09
Isaiah Thomas,58.82,75.76,23.23,0,1.01,0.307,0.478,0,45.36,37.11,17.53
Kyle Anderson,56.67,51.45,43.12,1.09,4.35,0.43,0.681,0.667,81.5,7.8,10.69
Davis Bertans,94.12,89.85,7.28,1.99,0.88,0.43,0.576,0.889,19.47,71.78,8.75
Jamal Crawford,26.44,94.52,5.48,0,0,0.394,0.458,0,42.13,39.57,18.31
Frank Jackson,69.84,61.78,35.24,2.06,0.92,0.333,0.578,1,58.11,32.21,9.68
Seth Curry,65.57,88.17,11.18,0.22,0.43,0.446,0.538,1,34.08,58.35,7.57
Josh Hart,82.01,70.47,25.22,3.45,0.86,0.324,0.556,1,36.95,52.57,10.48
