Player,AB_3U,MRU,paint_nonra,ra_usage,RC_3,LC_3,backcourt_usage,AB3%,MR%,paint_nonra%,RA%,RC3%,LC3%,BC%
Lonzo Ball,40.35,6.8,9.21,33.99,4.82,4.39,0.44,0.359,0.355,0.214,0.581,0.227,0.2,0
Luke Kennard,41.29,23.48,12.72,12.13,5.09,4.89,0.39,0.384,0.433,0.446,0.645,0.423,0.48,0
Kevin Huerter,41.55,5.74,18.45,22.17,6.82,4.96,0.31,0.373,0.351,0.387,0.559,0.409,0.469,0
Nemanja Bjelica,35.43,3.75,15.16,37.31,3.75,4.6,0,0.428,0.318,0.427,0.603,0.227,0.333,0
Allen Crabbe,52.28,14.21,6.97,9.65,8.58,7.77,0.54,0.344,0.245,0.269,0.556,0.469,0.517,0
Jonathan Isaac,26.35,16.04,6.87,33.72,6.87,9.98,0.16,0.311,0.378,0.31,0.617,0.381,0.311,0
Jeremy Lin,29.07,13.52,18.52,33.33,2.41,3.15,0,0.28,0.466,0.45,0.578,0.385,0.353,0
Robin Lopez,5.61,9.72,39.81,44.67,0,0.19,0,0.233,0.308,0.549,0.686,0,0,0
JaMychal Green,25.21,13.35,11.02,39.19,4.24,6.99,0,0.395,0.397,0.346,0.627,0.55,0.364,0
Tony Parker,8.86,34.56,19.87,34.56,1.3,0.43,0.43,0.244,0.413,0.511,0.544,0.5,0,0
Shabazz Napier,45.06,14.02,11.03,22.99,2.3,4.37,0.23,0.332,0.41,0.313,0.54,0.1,0.474,0
Markieff Morris,30.37,16.94,16.53,24.59,5.99,5.37,0.21,0.354,0.402,0.388,0.605,0.276,0.308,0
Danuel House Jr.,40.08,0.79,3.17,25.4,21.43,9.13,0,0.436,0.5,0.25,0.641,0.352,0.478,0
Al-Farouq Aminu,31.2,5.9,9.61,37.44,8.09,7.76,0,0.346,0.2,0.351,0.604,0.354,0.326,0
Alex Caruso,21.76,10.59,14.71,47.06,2.94,2.94,0,0.541,0.333,0.28,0.5,0.2,0.4,0
Larry Nance Jr.,16.49,13.78,15.24,50.52,1.46,2.3,0.21,0.354,0.288,0.356,0.707,0.286,0.273,0
Nicolas Batum,35.41,16.01,8.72,22.42,7.83,9.43,0.18,0.367,0.356,0.51,0.635,0.545,0.358,0
Rajon Rondo,26.59,10.59,15.76,41.18,3.29,2.35,0.24,0.389,0.333,0.313,0.491,0.357,0.1,0
Gerald Green,50.87,5.88,6.4,11.42,15.57,9.69,0.17,0.33,0.382,0.378,0.727,0.378,0.446,0
Jalen Brunson,21.72,16.88,25.67,25.85,4.13,5.75,0,0.355,0.372,0.483,0.653,0.348,0.281,0
Landry Shamet,56.19,9.34,4.31,15.26,7,7.9,0,0.409,0.327,0.458,0.529,0.436,0.5,0
Ish Smith,21.41,22.45,22.66,27.44,3.33,2.08,0.62,0.301,0.426,0.339,0.583,0.438,0.5,0
Terry Rozier,40.15,13.23,15.79,20.45,3.76,6.62,0,0.345,0.261,0.371,0.566,0.2,0.5,0
Malik Monk,43.17,12.8,9.39,21.5,6.31,5.8,1.02,0.348,0.36,0.255,0.611,0.378,0.206,0
Rondae Hollis-Jefferson,2.87,9.45,24.85,55.65,2.46,4.72,0,0.071,0.261,0.314,0.52,0.167,0.261,0
Ivica Zubac,0,4.81,20.86,74.33,0,0,0,0,0.278,0.423,0.612,0,0,0
Bam Adebayo,1.85,9.26,23.66,63.99,0.21,0.62,0.41,0.333,0.356,0.409,0.688,0,0,0
Tomas Satoransky,21.54,13.27,20.19,35.96,4.23,4.42,0.38,0.411,0.333,0.419,0.652,0.636,0.174,0
